timestamp,open,high,low,close,EMA12,EMA26,EMA9,histogram1,histogram2
'2016.03.14 19:00',1.11031,1.11031,1.11028,1.11028,1.110606,1.111687,-0.00094,-0.000141,-0.000073
'2016.03.14 20:00',1.11005,1.11013,1.11001,1.11009,1.110526,1.111569,-0.00096,-0.000082,-0.000032
'2016.03.14 21:00',1.10994,1.10994,1.10987,1.10993,1.110435,1.111447,-0.000971,-0.000042,-0.000007
'2016.03.14 22:00',1.1109,1.11144,1.1109,1.11134,1.110574,1.111439,-0.00095,0.000084,0.00018
'2016.03.14 23:00',1.11096,1.11096,1.1107,1.11073,1.110598,1.111387,-0.000917,0.000129,0.000161
'2016.03.15 00:00',1.11097,1.11097,1.11087,1.1109,1.110644,1.111351,-0.000875,0.000169,0.000197
'2016.03.15 01:00',1.11072,1.11078,1.11071,1.11074,1.110659,1.111305,-0.000829,0.000183,0.000195
'2016.03.15 02:00',1.11062,1.1107,1.11057,1.11066,1.110659,1.111258,-0.000783,0.000185,0.000189
'2016.03.15 03:00',1.11059,1.11069,1.11035,1.11045,1.110627,1.111198,-0.000741,0.00017,0.000163
'2016.03.15 04:00',1.11149,1.11204,1.11149,1.11184,1.110814,1.111245,-0.000679,0.000247,0.000305
'2016.03.15 05:00',1.11106,1.11126,1.11095,1.111,1.110842,1.111227,-0.00062,0.000235,0.00023
'2016.03.15 06:00',1.1074,1.10773,1.10736,1.10759,1.110342,1.110958,-0.000619,0.000003,-0.000132
'2016.03.15 07:00',1.10848,1.1086,1.10844,1.10859,1.110072,1.110782,-0.000637,-0.000073,-0.000112
'2016.03.15 08:00',1.10968,1.10969,1.10915,1.10917,1.109934,1.110663,-0.000656,-0.000074,-0.000068
'2016.03.15 09:00',1.11156,1.11184,1.11156,1.1118,1.110221,1.110747,-0.00063,0.000103,0.000222
'2016.03.15 10:00',1.11002,1.11037,1.11001,1.11017,1.110213,1.110704,-0.000602,0.000111,0.000124
'2016.03.15 11:00',1.10877,1.1089,1.10873,1.10882,1.109999,1.110565,-0.000595,0.000029,-0.000017
'2016.03.15 12:00',1.11116,1.11128,1.11085,1.11114,1.110174,1.110607,-0.000563,0.000129,0.000193
'2016.03.15 13:00',1.10963,1.10977,1.10963,1.10977,1.110112,1.110545,-0.000537,0.000103,0.00009
'2016.03.15 14:00',1.11109,1.11115,1.11089,1.11106,1.110258,1.110584,-0.000495,0.000169,0.000209
'2016.03.15 15:00',1.11087,1.11089,1.11063,1.11063,1.110315,1.110587,-0.00045,0.000178,0.000182
'2016.03.15 16:00',1.1108,1.11098,1.11079,1.11096,1.110414,1.110615,-0.0004,0.0002,0.000213
'2016.03.15 17:00',1.11082,1.11089,1.11068,1.11089,1.110488,1.110635,-0.00035,0.000202,0.000199
'2016.03.15 18:00',1.11051,1.11067,1.11051,1.11056,1.110499,1.110629,-0.000306,0.000175,0.000158
'2016.03.15 19:00',1.1107,1.11079,1.11059,1.11079,1.110543,1.110641,-0.000264,0.000166,0.000157
'2016.03.15 20:00',1.11073,1.11073,1.11066,1.1107,1.110568,1.110646,-0.000227,0.000149,0.000133
'2016.03.15 21:00',1.11069,1.11075,1.11066,1.11069,1.110586,1.110649,-0.000194,0.000132,0.000118
'2016.03.15 22:00',1.11034,1.11042,1.11033,1.11042,1.110561,1.110632,-0.00017,0.000098,0.000075
'2016.03.15 23:00',1.11012,1.11012,1.10999,1.10999,1.110473,1.110584,-0.000158,0.000046,0.000011
'2016.03.16 00:00',1.11009,1.11015,1.11009,1.11011,1.110417,1.110549,-0.000153,0.000021,0.000004
'2016.03.16 01:00',1.11004,1.11008,1.10998,1.11001,1.110355,1.110509,-0.000153,-0.000002,-0.000016
'2016.03.16 02:00',1.10963,1.10977,1.10963,1.10977,1.110265,1.110455,-0.000161,-0.000029,-0.000045
